qid,query
1006728,"occipital lobe, visual processing, brain anatomy, vision perception, cerebral cortex, sensory processing, neuroanatomy, visual cortex, eye-brain connection, brain function--occipital lobe, vision processing, brain anatomy, visual perception, lobe functions, sensory processing, neuroanatomy, visual cortex, brain regions, sight and vision--occipital lobe, vision processing, brain anatomy, visual perception, sensory information, cerebral cortex, visual cortex, neuroanatomy, brain function, eye-brain connection--occipital lobe, visual processing, brain anatomy, vision perception, cerebral cortex, sensory information, visual cortex, eye-brain connection, neuroanatomy, brain function--occipital lobe, vision processing, brain anatomy, visual perception, visual cortex, sensory processing, neuroanatomy, brain function, eye-brain connection, visual information processing"
1040198,"Florida Supreme Court, state law authority, judicial review in Florida, Florida legal system, state court decisions, legal precedent in Florida, Florida constitutional law, role of Florida judiciary, state vs federal law in Florida, Florida legal hierarchy.--Florida Supreme Court, state law interpretation, judicial authority in Florida, legal precedent in Florida, Florida judicial system, state court decisions, Florida legal hierarchy, appellate court rulings, state constitutional law, legal jurisdiction in Florida.--Florida Supreme Court, state law interpretation, judicial authority in Florida, Florida legal system, Florida constitutional law, state court decisions, legal precedent in Florida, Florida judicial review, role of Florida Supreme Court, Florida law hierarchy.--Florida Supreme Court, state law interpretation, judicial authority in Florida, legal precedent in Florida, Florida court system, state constitutional law, appellate jurisdiction in Florida, legal hierarchy in Florida, state vs federal law, Florida legal system--Florida Supreme Court, state law interpretation, judicial authority in Florida, legal precedent in Florida, state court decisions, Florida legal system, constitutional law Florida, Florida legal hierarchy, appellate jurisdiction Florida, state versus federal law."
1104300,"bryophyte life cycle, gametophyte dominance, sporophyte generation, bryophyte reproduction, plant life cycles, moss life cycle, liverworts and hornworts, bryophyte characteristics, plant dominance phases, ecological role of bryophytes--bryophyte life cycle, dominant phase in bryophytes, bryophyte reproduction, gametophyte dominance in bryophytes, bryophyte life stages, sporophyte vs gametophyte in bryophytes, bryophyte lifecycle phases, plant life cycle comparison, bryophyte ecology, plant reproductive strategies--bryophyte life cycle, dominant phase in bryophytes, bryophyte reproduction, gametophyte dominance, sporophyte generation in bryophytes, bryophyte life stages, plant life cycle comparison, bryophyte biology, moss life cycle, liverwort reproduction--bryophyte life cycle, dominant stage bryophytes, bryophyte reproduction, gametophyte dominance, sporophyte in bryophytes, bryophyte biology, plant life cycle stages, bryophyte ecology, moss life cycle, liverworts and hornworts--bryophyte life cycle, dominant phase bryophytes, bryophyte reproduction, gametophyte dominance, sporophyte role bryophytes, bryophyte development stages, plant life cycle comparison, bryophyte ecology, moss life cycle, liverwort reproductive strategies"
1104447,"transform boundary, transform fault, lateral fault, plate tectonics, horizontal plate movement, tectonic plates, fault line, geological boundaries, plate interactions, continental drift--transform boundary, transform fault, lateral fault, plate tectonics, plate boundaries, horizontal plate movement, tectonic plates, geological boundaries, Earth science, seismic activity--transform boundary, transform fault, plate tectonics, lateral fault, horizontal plate movement, tectonic plate interaction, geological boundaries, fault lines, continental drift, seismic activity--transform boundary, transform fault, lateral fault, plate tectonics, horizontal plate movement, tectonic plate interaction, boundary types, geological boundaries, earthquake zones, plate boundary dynamics--transform boundary, transform fault, plate tectonics, lateral fault, horizontal plate movement, tectonic plates interaction, geological boundaries, continental drift, seismic activity, earth science"
1107704,"single European currency advantages, benefits of Euro adoption, economic impact of Euro, advantages of a unified currency, Eurozone economic benefits, single currency advantages in Europe, Euro benefits for trade, financial stability of Euro, Eurozone economic integration benefits, impact of Euro on member states--single European currency advantages, benefits of Euro adoption, economic impact of Euro, advantages of a unified currency, Eurozone economic benefits, single currency advantages, Euro benefits for trade, impact of Euro on European economy--single European currency advantages, benefits of Euro adoption, Eurozone economic impact, advantages of a unified currency, impact of Euro on trade, single currency economic benefits, Euro benefits for member states, advantages of currency integration, effects of the Euro on European economy, benefits of a common currency in Europe--single European currency advantages, benefits of Euro adoption, economic impact of Euro, advantages of a unified currency, Eurozone economic benefits, single currency advantages in Europe, benefits of the Euro for member states, economic integration through Euro, monetary union benefits, Euro impact on trade--single European currency advantages, benefits of euro adoption, economic impact of euro, advantages of a unified currency in Europe, eurozone economic benefits, single currency pros and cons, effects of euro on trade, monetary union advantages, euro benefits for member states, financial stability in eurozone"
1107821,"Radio Free Europe history, Radio Free Europe mission, Radio Free Europe impact, Radio Free Europe broadcasts, Radio Free Europe significance, Radio Free Europe funding, Radio Free Europe Cold War, Radio Free Europe current role--Radio Free Europe history, Radio Free Europe mission, Radio Free Europe impact, Radio Free Europe broadcasts, Radio Free Europe significance, Radio Free Europe Cold War, Radio Free Europe funding, Radio Free Europe programming--Radio Free Europe, RFE, Cold War broadcasting, Eastern Europe media, anti-communist radio, US government-funded radio, news and information services, media freedom, historical context of RFE, impact of RFE, propaganda radio, RFE mission and goals.--Radio Free Europe history, Radio Free Europe mission, Radio Free Europe impact, Radio Free Europe broadcasts, Radio Free Europe funding, Cold War propaganda, Eastern Europe media, Radio Free Europe legacy--history of Radio Free Europe, Radio Free Europe mission, Radio Free Europe impact, Radio Free Europe broadcasts, Radio Free Europe significance, Cold War media, Radio Free Europe funding, Radio Free Europe programming"
1109840,"occupational safety, workplace health regulations, labor law, occupational health and safety, OSHA standards, employee safety legislation, industrial safety laws, workplace safety compliance--occupational safety, workplace health regulations, OSHA standards, employee safety laws, industrial health regulations, labor safety legislation, workplace safety compliance, private sector health laws--occupational safety, workplace health regulations, private-sector labor laws, employee safety standards, OSHA regulations, industrial health policies, workplace safety legislation, health and safety compliance--occupational safety, workplace health regulations, labor safety laws, employee health standards, OSHA regulations, industrial safety compliance, workplace safety legislation, health and safety at work, private-sector health laws, employee safety rights--occupational safety, workplace health regulations, labor laws, OSHA standards, employee safety legislation, industrial health policies, workplace safety compliance, private sector health regulations"
1110996,"t tubules function, t tubules purpose, t tubules significance, t tubules mechanism, t tubules in muscle contraction, transverse tubules, t tubules and calcium release, role of t tubules in excitation-contraction coupling, t tubules structure, t tubules in cardiac muscle--t tubules function, t tubules purpose, t tubules significance, t tubules in muscle contraction, t tubules structure, t tubules and calcium release, t tubules in cardiac muscle, t tubules in skeletal muscle, t tubules and action potentials--t tubules function, t tubules significance, t tubules physiology, t tubules and muscle contraction, role of transverse tubules, t tubules in cardiac muscle, t tubules in skeletal muscle, t tubules structure, t tubules and excitation-contraction coupling--t tubules function, t tubules purpose, t tubules significance, role of transverse tubules, t tubules in muscle contraction, t tubules and action potential, t tubules anatomy, t tubules in cardiac muscle, t tubules in skeletal muscle, t tubules and calcium release--t tubules function, t tubules significance, role of transverse tubules, t tubules in muscle contraction, t tubules and calcium signaling, t tubules structure and function, transverse tubules in cardiomyocytes, t tubules in skeletal muscle, t tubules and action potentials, t tubules in excitation-contraction coupling"
1111577,"phrase meaning, idiom definition, jump on the bandwagon explanation, idiomatic expression, bandwagon effect, colloquial phrase, figurative language, popular trends, cultural references, expression usage--phrase meaning, idiom explanation, jump on the bandwagon definition, idiomatic expression, cultural significance, usage examples, related phrases, figurative language, slang interpretation, popular sayings--jump on the bandwagon meaning, idiom definition, phrase explanation, bandwagon effect, common phrases, idiomatic expressions, cultural references, usage examples--idiom definition, phrase meaning, jump on the bandwagon explanation, idiomatic expression, phrase origin, common usage, cultural significance, figurative language, metaphorical meaning, slang interpretation--idiom meaning, phrase definition, jump on the bandwagon explanation, idiomatic expression, bandwagon effect, common phrases, figurative language, cultural references, slang meanings, language usage"
1113361,"censorship, free speech, legal definition, First Amendment, press freedom, government regulation, judicial review, media law, constitutional rights, public interest--censorship, freedom of speech, legal definition, First Amendment, press freedom, judicial review, media regulation, constitutional law, government intervention, public interest--censorship, freedom of speech, First Amendment, legal definition, media law, government regulation, press freedom, judicial review, constitutional rights, speech limitations--censorship, free speech, legal definition, First Amendment, media law, government regulation, judicial review, press freedom, constitutional rights, speech suppression--censorship, freedom of speech, First Amendment, legal definition, media law, press freedom, government regulation, judicial review, constitutional law, speech suppression"
