qid,query
1006728,"occipital lobe, visual processing, brain anatomy, vision, sight perception, cerebral cortex, sensory processing, neuroanatomy, visual cortex, brain function, lobe functions, eye-brain connection, visual information, perception, brain regions--cerebral lobe, vision, occipital lobe, brain anatomy, visual processing, neuroanatomy, sensory perception, brain function, visual cortex, sight, eye function, brain regions, perception, neuroscience--cerebral lobe, brain function, visual processing, occipital lobe, vision, neuroanatomy, sensory perception, brain regions, visual cortex, sight, eye anatomy, brain structure, neurological pathways, cognition, perception, brain disorders, visual stimuli--occipital lobe, visual processing, brain anatomy, vision, sensory perception, cerebral cortex, lobe functions, visual pathways, eye-brain connection, neuroanatomy, sight, brain regions, occipital function, perception of light, visual information processing--cerebral lobe, brain, vision, occipital lobe, visual processing, visual cortex, sensory perception, neuroanatomy, brain function, human vision, eye-brain connection, visual pathways, lobe functions, cognitive neuroscience"
1040198,"Florida Supreme Court, state law, legal authority, judicial review, state constitution, appellate courts, legal precedents, state statutes, legal interpretation, Florida judiciary, jurisdiction, legal disputes, local courts, federalism, case law, state governance, legal hierarchy, constitutional law--Florida law, final arbiter, state authority, legal jurisdiction, state supreme court, judicial review, constitutional law, legal precedents, state vs federal law, legal disputes, court rulings, state constitution, appellate court, legal interpretation, governance in Florida--Florida Supreme Court, state law, judicial authority, legal jurisdiction, appellate court, state constitution, Florida statutes, legal precedent, court hierarchy, state governance, legal interpretation, judicial review, state legal system, Florida legal framework, law enforcement, state legal disputes--final arbiter, Florida law, state authority, legal jurisdiction, Florida Supreme Court, judicial review, state constitution, legal interpretation, court decisions, state statutes, conflict resolution, legal hierarchy, governance in Florida, state legal system, authority in law.--final arbiter, Florida law, state authority, judicial review, legal hierarchy, state constitution, appellate courts, Supreme Court of Florida, legal precedent, jurisdiction, state versus federal law, administrative law, legal interpretation, case law, constitutional law"
1104300,"bryophyte life cycle, dominant phase, gametophyte, sporophyte, reproduction in bryophytes, plant life cycles, mosses, liverworts, hornworts, alternation of generations, ecological role, evolutionary significance, life cycle stages, dominance in plants, non-vascular plants--bryophyte life cycle, dominant phase bryophytes, gametophyte dominance, sporophyte in bryophytes, bryophyte reproduction, plant life cycle stages, bryophyte biology, moss life cycle, liverworts reproduction, hornworts characteristics, plant dominance phases, bryophyte ecology, life cycle comparison, non-vascular plants, plant evolutionary biology--bryophyte life cycle, gametophyte dominance, sporophyte role, reproductive stages, moss life cycle, liverworts, hornworts, plant life cycles, non-vascular plants, evolutionary significance, environmental adaptations, fertilization process, spore production, habitat preferences, ecological importance--bryophyte life cycle, dominant stage bryophyte, bryophyte reproduction, gametophyte dominance, sporophyte role bryophyte, bryophyte life stages, moss life cycle, liverwort life cycle, hornwort life cycle, bryophyte characteristics, evolutionary significance bryophytes, plant life cycle comparison, bryophyte photosynthesis, bryophyte habitat, bryophyte ecology--bryophyte life cycle, dominant phase bryophytes, gametophyte dominance, sporophyte role, moss reproduction, liverwort life cycle, plant life cycle phases, bryophyte ecology, evolutionary adaptations bryophytes, comparative plant biology"
1104447,"transform boundary, strike-slip fault, tectonic plates, plate tectonics, geological boundaries, lateral fault, continental drift, earth science, plate movement, fault lines, seismic activity, geology, tectonic boundary types, horizontal motion, earth's crust--transform boundary, plate tectonics, horizontal plate movement, geological boundaries, continental plates, fault lines, earthquakes, tectonic plates, boundary types, lateral movement, transform fault, plate interactions, geological features, earth science, seismic activity--transform fault boundary, lateral fault, strike-slip boundary, tectonic plates, plate tectonics, geological features, earthquake zones, plate interactions, continental drift, fault lines, seismic activity, geological boundaries--transform fault boundary, lateral fault, strike-slip boundary, plate tectonics, geological boundaries, tectonic plates, horizontal plate movement, earthquake zones, plate interactions, continental drift, geological formations, fault lines, seismic activity, earth science, boundary types--transform fault, lateral fault, strike-slip boundary, plate tectonics, tectonic plates, boundary types, geological features, fault lines, seismic activity, earth's crust, horizontal movement, continental drift, geophysical processes, plate interactions, boundary formation"
1107704,"single European currency, benefits, Euro, economic integration, trade efficiency, price stability, currency exchange, financial markets, economic growth, monetary policy, transaction costs, consumer prices, investment, fiscal policy, market transparency, international trade, economic convergence, European Union, economic stability, cross-border transactions--single european currency, benefits of euro, economic integration, currency stability, trade facilitation, price transparency, investment attraction, economic growth, monetary policy, exchange rate risks, European Union, financial markets, consumer benefits, cross-border transactions, inflation control--single european currency, benefits, economic integration, monetary stability, trade facilitation, exchange rate stability, inflation control, investment attraction, consumer confidence, European Union, cost reduction, transaction efficiency, market transparency, economic growth, financial unity, cross-border trade, fiscal policy coordination, currency risk reduction, political stability, economic resilience--main benefit, single European currency, advantages of Euro, economic integration, trade efficiency, price stability, currency exchange costs, investment attraction, monetary policy, financial stability, European Union economy, consumer benefits, economic growth, cross-border trade, fiscal policy coordination--single european currency, euro, economic integration, monetary policy, exchange rate stability, trade facilitation, price transparency, investment attraction, economic growth, financial stability, inflation control, fiscal discipline, market efficiency, transaction costs, consumer benefits, cross-border trade, currency risk reduction, European Union, economic convergence, regional stability"
1107821,"Radio Free Europe, history, Cold War, broadcasting, Eastern Europe, media influence, propaganda, US government, news service, cultural impact, foreign policy, journalism, political dissent, Soviet Union, information dissemination, listeners, freedom of speech, international relations.--Radio Free Europe, Cold War, propaganda, media, broadcasting, Eastern Europe, information dissemination, historical context, political influence, free speech, Western media, Soviet Union, journalism, cultural exchange, news organization, dissent, democracy promotion, international relations--Radio Free Europe, Cold War, broadcasting, information dissemination, Eastern Europe, propaganda, media influence, US government, international broadcasting, political commentary, historical context, freedom of speech, Czech Republic, Hungary, Romania, Soviet Union, Voice of America, news coverage, cultural exchange, democracy promotion--Radio Free Europe history, Radio Free Europe mission, Radio Free Europe impact, Radio Free Europe broadcasts, Radio Free Europe countries, Radio Free Europe funding, Radio Free Europe significance, Radio Free Europe Cold War, Radio Free Europe news, Radio Free Europe programming, Radio Free Europe purpose, Radio Free Europe audience, Radio Free Europe analysis, Radio Free Europe legacy, Radio Free Europe controversies--Radio Free Europe, Cold War, Western propaganda, Eastern Europe, media influence, broadcasting, information dissemination, democracy promotion, political freedom, historical context, cultural impact, news reporting, Soviet Union, international relations, free press."
1109840,"Occupational Safety and Health Act, OSHA, workplace safety regulations, health standards, private sector health laws, employee safety, industrial safety regulations, labor laws, environmental health, risk management, safety compliance, workplace health guidelines, industrial hygiene, employee rights, safety training, accident prevention, safety inspections, hazard communication, safety audits, health and safety programs--Occupational Safety and Health Act, OSHA, workplace safety regulations, health standards, employee rights, industrial safety laws, private sector health regulations, environmental health and safety, labor laws, workplace health compliance, safety training requirements, risk management, employee safety programs, safety inspections, hazardous materials regulations.--occupational safety, health regulations, workplace safety, labor laws, OSHA, employee health, industrial safety standards, private sector compliance, safety guidelines, health and safety legislation, workplace conditions, risk management, employee rights, federal regulations, safety audits--Occupational Safety and Health Act, OSHA regulations, workplace safety laws, employee health standards, private-sector health regulations, industrial safety compliance, worker protection laws, safety and health regulations, labor safety legislation, occupational health guidelines, workplace hazard standards, employee rights in safety, health and safety management, safety training requirements, risk assessment laws--Occupational Safety and Health Act, OSHA, workplace safety regulations, health standards, employee safety laws, industrial safety, labor regulations, workplace health compliance, private-sector health laws, safety management systems, risk assessment, employee rights, safety training requirements, hazard communication, environmental health and safety, regulatory compliance, health and safety audits."
1110996,"tubules function, muscle contraction, cardiac muscle, skeletal muscle, excitation-contraction coupling, sarcoplasmic reticulum, calcium signaling, myocyte structure, membrane invaginations, action potential propagation, muscle physiology, transverse tubules, intracellular communication, muscle fiber anatomy, ion channels--t tubules function, t tubules in muscle, t tubules and action potential, t tubules structure, t tubules and calcium release, excitation-contraction coupling, cardiac muscle t tubules, skeletal muscle t tubules, t tubules physiology, t tubules and sarcoplasmic reticulum, muscle contraction mechanism, t tubules significance, t tubules and electrical signals, t tubules in myocytes, membrane invaginations in muscle--t tubules function, t tubules structure, t tubules cardiac muscle, t tubules skeletal muscle, excitation-contraction coupling, muscle fiber anatomy, transverse tubules, calcium signaling, muscle contraction mechanism, sarcoplasmic reticulum interaction, action potential propagation, myocyte physiology, muscle cell signaling, role in muscle contraction, electrophysiology of muscle--t tubules function, t tubules in muscle contraction, t tubules structure, t tubules and calcium release, t tubules in cardiac muscle, t tubules in skeletal muscle, t tubules and action potential, role of t tubules in excitation-contraction coupling, t tubules and myocyte function, t tubules and membrane potential, t tubules significance in physiology, t tubules and ion channels, t tubules and muscle fiber organization, t tubules in smooth muscle, t tubules and heart rhythm, t tubules and sarcoplasmic reticulum, t tubules and electrical signaling, t tubules in muscle physiology, t tubules and muscle action, t tubules and cellular communication--t tubules, role, function, skeletal muscle, cardiac muscle, excitation-contraction coupling, muscle fiber structure, ion channels, action potential propagation, sarcoplasmic reticulum, calcium release, muscle contraction, membrane invaginations, myofibrils, electrical signals, muscle physiology, cellular communication, transverse tubules, muscle action, anatomy, physiology, muscle cells, cardiac excitation, muscle function"
1111577,"phrase meaning, idiom explanation, bandwagon definition, idiomatic expression, jump on bandwagon usage, figurative language, cultural references, popular trends, social conformity, metaphorical phrases, language analysis, expressions meaning--phrase meaning, idiomatic expressions, bandwagon effect, jump on the bandwagon definition, idioms and phrases, cultural references, slang meanings, metaphorical language, popular trends, social influence, group behavior, language usage, expression analysis, phrase origins, figurative language--phrase meaning, idiom explanation, bandwagon definition, jump on the bandwagon usage, idiomatic expression, cultural significance, figurative language, popular support, trend following, social influence--meaning of jump on the bandwagon, phrase jump on the bandwagon definition, idiom jump on the bandwagon explanation, origin of jump on the bandwagon, examples of jump on the bandwagon, synonyms for jump on the bandwagon, usage of jump on the bandwagon, cultural significance of jump on the bandwagon, jump on the bandwagon in literature, jump on the bandwagon in pop culture--phrase meaning, idiom explanation, bandwagon effect, cultural references, idiomatic expressions, figurative language, common sayings, social trends, popularity influence, metaphor analysis, language usage, expression origins, communication strategies, English phrases, linguistic insights"
1113361,"prior restraint definition, legal definition of prior restraint, examples of prior restraint, prior restraint in law, prior restraint cases, first amendment and prior restraint, history of prior restraint, prior restraint doctrine, prior restraint implications, prior restraint analysis, prior restraint legal principles--prior restraint definition, legal definition prior restraint, prior restraint examples, history of prior restraint, prior restraint First Amendment, prior restraint cases, prior restraint significance, prior restraint legal implications, prior restraint in journalism, prior restraint Supreme Court, prior restraint vs censorship, prior restraint policy, prior restraint in media law, effects of prior restraint, prior restraint analysis--prior restraint definition, legal implications, freedom of speech, censorship, First Amendment, case law, historical examples, media law, government regulation, legal precedent, constitutional rights, judicial review, public interest, speech limitations, press freedom--prior restraint definition, legal definition of prior restraint, examples of prior restraint, prior restraint in law, prior restraint First Amendment, prior restraint cases, prior restraint history, effects of prior restraint, prior restraint and free speech, prior restraint legal standards, prior restraint and censorship, prior restraint legal implications, prior restraint constitutional issues, prior restraint court rulings, prior restraint in journalism--prior restraint, censorship, free speech, First Amendment, legal definition, Supreme Court cases, media law, government regulation, press freedom, constitutional law, judicial review, public interest, speech limitations, legal precedent, freedom of expression"
